Частота встречаемости НОД:
2 - 60
4 - 42
8 - 34
3 - 32
16 - 21
6 - 19
5 - 15
7 - 15
11 - 12
12 - 12
17 - 9
32 - 9
10 - 8
14 - 8
24 - 8
9 - 7
22 - 7
44 - 7
88 - 7
20 - 6
21 - 6
28 - 6
13 - 5
40 - 5
51 - 5
55 - 5
71 - 5
80 - 5
15 - 4
19 - 4
26 - 4
33 - 4
34 - 4
48 - 4
52 - 4
56 - 4
57 - 4
176 - 4
18 - 3
25 - 3
45 - 3
47 - 3
64 - 3
67 - 3
68 - 3
103 - 3
104 - 3
110 - 3
119 - 3
206 - 3
208 - 3
220 - 3
412 - 3
416 - 3
440 - 3
824 - 3
832 - 3
880 - 3
29 - 2
30 - 2
36 - 2
37 - 2
38 - 2
41 - 2
49 - 2
50 - 2
58 - 2
60 - 2
73 - 2
77 - 2
99 - 2
112 - 2
114 - 2
123 - 2
133 - 2
134 - 2
136 - 2
142 - 2
146 - 2
191 - 2
224 - 2
235 - 2
272 - 2
357 - 2
382 - 2
399 - 2
544 - 2
764 - 2
23 - 1
27 - 1
31 - 1
35 - 1
42 - 1
46 - 1
62 - 1
63 - 1
66 - 1
74 - 1
76 - 1
79 - 1
82 - 1
84 - 1
87 - 1
90 - 1
91 - 1
92 - 1
94 - 1
97 - 1
98 - 1
100 - 1
102 - 1
107 - 1
116 - 1
120 - 1
121 - 1
132 - 1
135 - 1
139 - 1
151 - 1
158 - 1
164 - 1
165 - 1
168 - 1
171 - 1
174 - 1
180 - 1
182 - 1
184 - 1
185 - 1
188 - 1
196 - 1
200 - 1
201 - 1
203 - 1
213 - 1
214 - 1
217 - 1
219 - 1
221 - 1
223 - 1
228 - 1
231 - 1
232 - 1
238 - 1
240 - 1
246 - 1
264 - 1
268 - 1
278 - 1
284 - 1
291 - 1
293 - 1
302 - 1
342 - 1
343 - 1
347 - 1
348 - 1
355 - 1
363 - 1
364 - 1
368 - 1
370 - 1
376 - 1
385 - 1
392 - 1
400 - 1
401 - 1
402 - 1
406 - 1
407 - 1
417 - 1
426 - 1
434 - 1
438 - 1
443 - 1
446 - 1
449 - 1
476 - 1
492 - 1
495 - 1
568 - 1
677 - 1
684 - 1
693 - 1
696 - 1
736 - 1
752 - 1
804 - 1
834 - 1
