D?? 	independence=5 	domination=5
D?_ 	independence=4 	domination=4
D?o 	independence=4 	domination=3
D?w 	independence=4 	domination=2
D?{ 	independence=4 	domination=1
DCO 	independence=3 	domination=3
DCo 	independence=3 	domination=3
DCW 	independence=3 	domination=2
DCc 	independence=3 	domination=3
DCw 	independence=3 	domination=2
DCs 	independence=3 	domination=2
DC{ 	independence=3 	domination=1
DEo 	independence=3 	domination=3
DEw 	independence=3 	domination=2
DEs 	independence=3 	domination=2
DEk 	independence=3 	domination=2
DE{ 	independence=3 	domination=1
DFw 	independence=3 	domination=2
DF{ 	independence=3 	domination=1
DQo 	independence=3 	domination=3
DQg 	independence=2 	domination=2
DQw 	independence=2 	domination=2
DQ{ 	independence=2 	domination=1
DUW 	independence=2 	domination=2
DUw 	independence=2 	domination=2
DU{ 	independence=2 	domination=1
DTw 	independence=2 	domination=2
DTk 	independence=2 	domination=2
DT{ 	independence=2 	domination=1
DV{ 	independence=2 	domination=1
D]w 	independence=2 	domination=2
D]{ 	independence=2 	domination=1
D^{ 	independence=2 	domination=1
D~{ 	independence=1 	domination=1
0m0,002s
