E??? 	independence=6 	domination=6
E?A? 	independence=5 	domination=5
E?B? 	independence=5 	domination=4
E?B_ 	independence=5 	domination=3
E?Bo 	independence=5 	domination=2
E?Bw 	independence=5 	domination=1
E?`? 	independence=4 	domination=4
E?b? 	independence=4 	domination=4
E?`_ 	independence=4 	domination=3
E?aG 	independence=4 	domination=4
E?b_ 	independence=4 	domination=3
E?`o 	independence=4 	domination=2
E?bG 	independence=4 	domination=3
E?bo 	independence=4 	domination=2
E?bg 	independence=4 	domination=2
E?bw 	independence=4 	domination=1
E?r? 	independence=4 	domination=4
E?oo 	independence=4 	domination=2
E?r_ 	independence=4 	domination=3
E?qo 	independence=4 	domination=2
E?rG 	independence=4 	domination=3
E?qg 	independence=4 	domination=3
E?ow 	independence=4 	domination=2
E?ro 	independence=4 	domination=2
E?rg 	independence=4 	domination=2
E?qw 	independence=4 	domination=2
E?rw 	independence=4 	domination=1
E?z_ 	independence=4 	domination=3
E?zO 	independence=4 	domination=2
E?zo 	independence=4 	domination=2
E?zg 	independence=4 	domination=2
E?zW 	independence=4 	domination=2
E?zw 	independence=4 	domination=1
E?~o 	independence=4 	domination=2
E?~w 	independence=4 	domination=1
ECO_ 	independence=3 	domination=3
ECR? 	independence=4 	domination=4
ECQ_ 	independence=3 	domination=3
ECQO 	independence=3 	domination=3
ECR_ 	independence=3 	domination=3
ECRO 	independence=3 	domination=3
ECQo 	independence=3 	domination=2
ECRo 	independence=3 	domination=2
ECRW 	independence=3 	domination=2
ECRw 	independence=3 	domination=1
ECpO 	independence=3 	domination=3
ECr_ 	independence=3 	domination=3
ECrO 	independence=3 	domination=3
ECpo 	independence=3 	domination=2
ECrG 	independence=3 	domination=3
ECqg 	independence=3 	domination=3
ECro 	independence=3 	domination=2
ECrg 	independence=3 	domination=2
ECrW 	independence=3 	domination=2
ECrw 	independence=3 	domination=1
ECZ? 	independence=3 	domination=3
ECX_ 	independence=3 	domination=3
ECYO 	independence=3 	domination=2
ECZ_ 	independence=3 	domination=3
ECZO 	independence=3 	domination=2
ECZG 	independence=3 	domination=3
ECXg 	independence=3 	domination=2
ECYW 	independence=3 	domination=2
ECZo 	independence=3 	domination=2
ECZg 	independence=3 	domination=2
ECZW 	independence=3 	domination=2
ECZw 	independence=3 	domination=1
ECeW 	independence=3 	domination=3
ECfo 	independence=3 	domination=2
ECfW 	independence=3 	domination=2
ECfw 	independence=3 	domination=1
ECxo 	independence=3 	domination=2
ECzo 	independence=3 	domination=2
ECzg 	independence=3 	domination=2
ECzW 	independence=3 	domination=2
ECxw 	independence=3 	domination=2
ECzw 	independence=3 	domination=1
ECvo 	independence=3 	domination=2
ECvW 	independence=3 	domination=2
ECuw 	independence=3 	domination=2
ECvw 	independence=3 	domination=1
EC~o 	independence=3 	domination=2
EC~w 	independence=3 	domination=1
EEr_ 	independence=3 	domination=3
EErO 	independence=3 	domination=3
EEro 	independence=3 	domination=2
EErW 	independence=3 	domination=2
EErw 	independence=3 	domination=1
EEh_ 	independence=3 	domination=3
EEj_ 	independence=3 	domination=3
EEio 	independence=3 	domination=3
EEho 	independence=3 	domination=2
EEiW 	independence=3 	domination=3
EEhW 	independence=3 	domination=2
EEjo 	independence=3 	domination=2
EEjW 	independence=3 	domination=2
EEhw 	independence=3 	domination=2
EEjw 	independence=3 	domination=1
EEz_ 	independence=3 	domination=3
EEzO 	independence=3 	domination=2
EEzo 	independence=3 	domination=2
EEzg 	independence=3 	domination=2
EEzw 	independence=3 	domination=1
EEvo 	independence=3 	domination=2
EEvW 	independence=3 	domination=2
EEuw 	independence=3 	domination=2
EEvw 	independence=3 	domination=1
EEno 	independence=3 	domination=2
EElw 	independence=3 	domination=2
EEnw 	independence=3 	domination=1
EE~w 	independence=3 	domination=1
EFz_ 	independence=3 	domination=3
EFzo 	independence=3 	domination=2
EFzW 	independence=3 	domination=2
EFzw 	independence=3 	domination=1
EF~w 	independence=3 	domination=1
EQhO 	independence=2 	domination=2
EQj_ 	independence=3 	domination=3
EQjO 	independence=2 	domination=2
EQig 	independence=2 	domination=2
EQjo 	independence=2 	domination=2
EQjg 	independence=2 	domination=2
EQjw 	independence=2 	domination=1
EQzO 	independence=2 	domination=2
EQzo 	independence=2 	domination=2
EQzg 	independence=2 	domination=2
EQzW 	independence=2 	domination=2
EQyw 	independence=2 	domination=2
EQzw 	independence=2 	domination=1
EQ~o 	independence=2 	domination=2
EQ~w 	independence=2 	domination=1
EUZ_ 	independence=3 	domination=3
EUZO 	independence=2 	domination=2
EUZo 	independence=2 	domination=2
EUZw 	independence=2 	domination=1
EUxo 	independence=2 	domination=2
EUzo 	independence=2 	domination=2
EUzW 	independence=2 	domination=2
EUzw 	independence=2 	domination=1
EU~w 	independence=2 	domination=1
ETzo 	independence=2 	domination=2
ETzg 	independence=2 	domination=2
ETzw 	independence=2 	domination=1
ETno 	independence=2 	domination=2
ETmw 	independence=2 	domination=2
ETnw 	independence=2 	domination=1
ET~w 	independence=2 	domination=1
EV~w 	independence=2 	domination=1
E]zo 	independence=2 	domination=2
E]zg 	independence=2 	domination=2
E]yw 	independence=2 	domination=2
E]zw 	independence=2 	domination=1
E]~o 	independence=2 	domination=2
E]~w 	independence=2 	domination=1
E^~w 	independence=2 	domination=1
E~~w 	independence=1 	domination=1
real	0m0,003s
