F???? 	independence=7 	domination=7
F??C? 	independence=6 	domination=6
F??E? 	independence=6 	domination=5
F??F? 	independence=6 	domination=4
F??F_ 	independence=6 	domination=3
F??Fo 	independence=6 	domination=2
F??Fw 	independence=6 	domination=1
F?AA? 	independence=5 	domination=5
F?AE? 	independence=5 	domination=5
F?AB? 	independence=5 	domination=4
F?ACG 	independence=5 	domination=5
F?AF? 	independence=5 	domination=4
F?AB_ 	independence=5 	domination=3
F?AEG 	independence=5 	domination=4
F?AF_ 	independence=5 	domination=3
F?ABo 	independence=5 	domination=2
F?AFG 	independence=5 	domination=3
F?AFo 	independence=5 	domination=2
F?AFg 	independence=5 	domination=2
F?AFw 	independence=5 	domination=1
F?BE? 	independence=5 	domination=5
F?B@_ 	independence=5 	domination=3
F?BF? 	independence=5 	domination=4
F?BD_ 	independence=5 	domination=3
F?B@o 	independence=5 	domination=2
F?BEG 	independence=5 	domination=4
F?BDG 	independence=5 	domination=4
F?B@g 	independence=5 	domination=3
F?BF_ 	independence=5 	domination=3
F?BDo 	independence=5 	domination=2
F?BFG 	independence=5 	domination=3
F?BDg 	independence=5 	domination=3
F?B@w 	independence=5 	domination=2
F?BFo 	independence=5 	domination=2
F?BFg 	independence=5 	domination=2
F?BDw 	independence=5 	domination=2
F?BFw 	independence=5 	domination=1
F?Bf? 	independence=5 	domination=4
F?Be_ 	independence=5 	domination=3
F?Bco 	independence=5 	domination=2
F?Bf_ 	independence=5 	domination=3
F?Beo 	independence=5 	domination=2
F?BfG 	independence=5 	domination=3
F?Beg 	independence=5 	domination=3
F?Bcw 	independence=5 	domination=2
F?Bfo 	independence=5 	domination=2
F?Bfg 	independence=5 	domination=2
F?Bew 	independence=5 	domination=2
F?Bfw 	independence=5 	domination=1
F?Bv_ 	independence=5 	domination=3
F?BvO 	independence=5 	domination=2
F?Bvo 	independence=5 	domination=2
F?Bvg 	independence=5 	domination=2
F?BvW 	independence=5 	domination=2
F?Bvw 	independence=5 	domination=1
F?B~o 	independence=5 	domination=2
F?B~w 	independence=5 	domination=1
F?`@? 	independence=4 	domination=4
F?`E? 	independence=5 	domination=5
F?`D? 	independence=4 	domination=4
F?`@_ 	independence=4 	domination=3
F?`CO 	independence=4 	domination=4
F?`F? 	independence=4 	domination=4
F?`D_ 	independence=4 	domination=3
F?`EO 	independence=4 	domination=4
F?`DO 	independence=4 	domination=3
F?`F_ 	independence=4 	domination=3
F?`FO 	independence=4 	domination=3
F?`Do 	independence=4 	domination=2
F?`EW 	independence=4 	domination=3
F?`Fo 	independence=4 	domination=2
F?`FW 	independence=4 	domination=2
F?`Fw 	independence=4 	domination=1
F?bAO 	independence=4 	domination=4
F?bF? 	independence=4 	domination=4
F?bB_ 	independence=4 	domination=3
F?bEO 	independence=4 	domination=4
F?bBO 	independence=4 	domination=3
F?bEG 	independence=4 	domination=4
F?bDG 	independence=4 	domination=4
F?bF_ 	independence=4 	domination=3
F?bFO 	independence=4 	domination=3
F?bDo 	independence=4 	domination=2
F?bBo 	independence=4 	domination=2
F?bFG 	independence=4 	domination=3
F?bDg 	independence=4 	domination=3
F?bEW 	independence=4 	domination=3
F?bFo 	independence=4 	domination=2
F?bFg 	independence=4 	domination=2
F?bFW 	independence=4 	domination=2
F?bFw 	independence=4 	domination=1
F?`e? 	independence=4 	domination=4
F?`b? 	independence=4 	domination=4
F?`c_ 	independence=4 	domination=3
F?`cO 	independence=4 	domination=3
F?`f? 	independence=4 	domination=4
F?`e_ 	independence=4 	domination=3
F?`b_ 	independence=4 	domination=3
F?`eO 	independence=4 	domination=3
F?`co 	independence=4 	domination=2
F?`eG 	independence=4 	domination=4
F?`bG 	independence=4 	domination=3
F?`cg 	independence=4 	domination=3
F?`ag 	independence=4 	domination=3
F?`cW 	independence=4 	domination=3
F?`f_ 	independence=4 	domination=3
F?`fO 	independence=4 	domination=3
F?`eo 	independence=4 	domination=2
F?`fG 	independence=4 	domination=3
F?`eg 	independence=4 	domination=3
F?`bg 	independence=4 	domination=2
F?`eW 	independence=4 	domination=3
F?`cw 	independence=4 	domination=2
F?`fo 	independence=4 	domination=2
F?`fg 	independence=4 	domination=2
F?`fW 	independence=4 	domination=2
F?`ew 	independence=4 	domination=2
F?`fw 	independence=4 	domination=1
F?aJ_ 	independence=4 	domination=2
F?aKW 	independence=4 	domination=4
F?aN_ 	independence=4 	domination=2
F?aNO 	independence=4 	domination=3
F?aMW 	independence=4 	domination=3
F?aNo 	independence=4 	domination=2
F?aNW 	independence=4 	domination=2
F?aNw 	independence=4 	domination=1
F?bbO 	independence=4 	domination=3
F?bao 	independence=4 	domination=2
F?bf_ 	independence=4 	domination=3
F?bfO 	independence=4 	domination=3
F?beo 	independence=4 	domination=2
F?bbo 	independence=4 	domination=2
F?bfG 	independence=4 	domination=3
F?beg 	independence=4 	domination=3
F?beW 	independence=4 	domination=3
F?bbW 	independence=4 	domination=3
F?bcw 	independence=4 	domination=2
F?baw 	independence=4 	domination=2
F?bfo 	independence=4 	domination=2
F?bfg 	independence=4 	domination=2
F?bfW 	independence=4 	domination=2
F?bew 	independence=4 	domination=2
F?bbw 	independence=4 	domination=2
F?bfw 	independence=4 	domination=1
F?`v? 	independence=4 	domination=3
F?`r_ 	independence=4 	domination=3
F?`uO 	independence=4 	domination=2
F?`v_ 	independence=4 	domination=3
F?`vO 	independence=4 	domination=2
F?`vG 	independence=4 	domination=3
F?`rg 	independence=4 	domination=2
F?`uW 	independence=4 	domination=2
F?`vo 	independence=4 	domination=2
F?`vg 	independence=4 	domination=2
F?`vW 	independence=4 	domination=2
F?`vw 	independence=4 	domination=1
F?bN_ 	independence=4 	domination=2
F?bNO 	independence=4 	domination=3
F?bLo 	independence=4 	domination=2
F?bMW 	independence=4 	domination=3
F?bLW 	independence=4 	domination=3
F?bNo 	independence=4 	domination=2
F?bNg 	independence=4 	domination=2
F?bNW 	independence=4 	domination=2
F?bLw 	independence=4 	domination=2
F?bNw 	independence=4 	domination=1
F?bv_ 	independence=4 	domination=3
F?bvO 	independence=4 	domination=2
F?bro 	independence=4 	domination=2
F?bvo 	independence=4 	domination=2
F?bvg 	independence=4 	domination=2
F?bvW 	independence=4 	domination=2
