G????? 	independence=8 	domination=8
G???C? 	independence=7 	domination=7
G???E? 	independence=7 	domination=6
G???F? 	independence=7 	domination=5
G???F_ 	independence=7 	domination=4
G???Fo 	independence=7 	domination=3
G???Fw 	independence=7 	domination=2
G???F{ 	independence=7 	domination=1
G??CA? 	independence=6 	domination=6
G??CE? 	independence=6 	domination=6
G??CB? 	independence=6 	domination=5
G??CCC 	independence=6 	domination=6
G??CF? 	independence=6 	domination=5
G??CB_ 	independence=6 	domination=4
G??CEC 	independence=6 	domination=5
G??CF_ 	independence=6 	domination=4
G??CBo 	independence=6 	domination=3
G??CFC 	independence=6 	domination=4
G??CFo 	independence=6 	domination=3
G??CBw 	independence=6 	domination=2
G??CFc 	independence=6 	domination=3
G??CFw 	independence=6 	domination=2
G??CFs 	independence=6 	domination=2
G??CF{ 	independence=6 	domination=1
G??EE? 	independence=6 	domination=6
G??E@_ 	independence=6 	domination=4
G??EF? 	independence=6 	domination=5
G??ED_ 	independence=6 	domination=4
G??E@o 	independence=6 	domination=3
G??EEC 	independence=6 	domination=5
G??EDC 	independence=6 	domination=5
G??E@c 	independence=6 	domination=4
G??EF_ 	independence=6 	domination=4
G??EDo 	independence=6 	domination=3
G??E@w 	independence=6 	domination=2
G??EFC 	independence=6 	domination=4
G??EDc 	independence=6 	domination=4
G??E@s 	independence=6 	domination=3
G??EFo 	independence=6 	domination=3
G??EDw 	independence=6 	domination=2
G??EFc 	independence=6 	domination=3
G??EDs 	independence=6 	domination=3
G??E@{ 	independence=6 	domination=2
G??EFw 	independence=6 	domination=2
G??EFs 	independence=6 	domination=2
G??ED{ 	independence=6 	domination=2
G??EF{ 	independence=6 	domination=1
G??FF? 	independence=6 	domination=5
G??FE_ 	independence=6 	domination=4
G??FCo 	independence=6 	domination=3
G??F?w 	independence=6 	domination=2
G??FF_ 	independence=6 	domination=4
G??FEo 	independence=6 	domination=3
G??FCw 	independence=6 	domination=2
G??FFC 	independence=6 	domination=4
G??FEc 	independence=6 	domination=4
G??FCs 	independence=6 	domination=3
G??F?{ 	independence=6 	domination=2
G??FFo 	independence=6 	domination=3
G??FEw 	independence=6 	domination=2
G??FFc 	independence=6 	domination=3
G??FEs 	independence=6 	domination=3
G??FC{ 	independence=6 	domination=2
G??FFw 	independence=6 	domination=2
G??FFs 	independence=6 	domination=2
G??FE{ 	independence=6 	domination=2
G??FF{ 	independence=6 	domination=1
G??Ff_ 	independence=6 	domination=4
G??FfO 	independence=6 	domination=3
G??FeW 	independence=6 	domination=2
G??Ffo 	independence=6 	domination=3
G??FfW 	independence=6 	domination=2
G??Ffc 	independence=6 	domination=3
G??FfS 	independence=6 	domination=3
G??Fe[ 	independence=6 	domination=2
G??Ffw 	independence=6 	domination=2
G??Ffs 	independence=6 	domination=2
G??Ff[ 	independence=6 	domination=2
G??Ff{ 	independence=6 	domination=1
G??Fvo 	independence=6 	domination=3
G??Fvg 	independence=6 	domination=2
G??Fvw 	independence=6 	domination=2
G??Fvs 	independence=6 	domination=2
G??Fvk 	independence=6 	domination=2
G??Fv{ 	independence=6 	domination=1
G??F~w 	independence=6 	domination=2
G??F~{ 	independence=6 	domination=1
G?AA@? 	independence=5 	domination=5
G?AAE? 	independence=6 	domination=6
G?AAD? 	independence=5 	domination=5
G?AA@_ 	independence=5 	domination=4
G?AACG 	independence=5 	domination=5
G?AAF? 	independence=5 	domination=5
G?AAD_ 	independence=5 	domination=4
G?AA@o 	independence=5 	domination=3
G?AAEG 	independence=5 	domination=5
G?AADG 	independence=5 	domination=4
G?AAF_ 	independence=5 	domination=4
G?AADo 	independence=5 	domination=3
G?AAFG 	independence=5 	domination=4
G?AADg 	independence=5 	domination=3
G?AAEK 	independence=5 	domination=4
G?AAFo 	independence=5 	domination=3
